Entidad,Zona,Porcentaje 2018,Porcentaje 2020
Chiapas,Sur,31.2,32.5
Oaxaca,Sur,29.6,29.6
Michoacán,Centro,27,29.4
Veracruz,Sur,26.4,27.8
Guerrero,Sur,25.8,26.6
Guanajuato,Centro,22.2,23.2
Yucatán,Sur,21.6,21.8
Puebla,Centro,21.3,23.2
Zacatecas,Norte,20.8,21.9
Hidalgo,Centro,19.7,18.9
San Luis Potosí,Norte,19.7,19.2
Campeche,Sur,19.4,19.2
Jalisco,Centro,19.3,18.5
Morelos,Centro,19.3,17.7
Nayarit,Centro,19.2,18.3
Colima,Centro,18.1,17.7
Tabasco,Sur,18,16.6
Sinaloa,Norte,17.9,16.8
Queretaro,Centro,17.5,17
Chihuahua,Norte,17.2,16.2
Quintana Roo,Sur,17,17.5
Durango,Norte,16.3,16.9
Tamaulipas,Norte,16.1,15.6
Baja California,Norte,15.9,16.1
Tlaxcala,Centro,15.9,16.1
Aguascalientes,Norte,15.6,15.7
México,Centro,14.7,14.1
Coahuila,Norte,14.2,14.3
Sonora,Norte,14,15.6
Baja California Sur,Norte,13.6,14.5
Nuevo León,Norte,13.4,14.4
Ciudad de México,Centro,9.4,9.5
